title,product_url,brand,price,rating,review_count,shipping
WD_BLACK™ SN850P 2TB NVMe™ SSD for PS5™ consoles M.2 2280 PCI-Express 4.0 x4 Internal Solid State Drive (SSD) WDBBYV0020BNC-WRSN,https://www.newegg.com/western-digital-2tb-wd-black-sn850p-nvme-ssd-for-ps5-consoles/p/N82E16820250258,SanDisk,289.65,4.9,10.0,Free Shipping
"WD_BLACK SN8100 NVMe SSD - 2TB, With Heatsink, M.2 2280 PCI-Express 5.0 x4 Internal Solid State Drive (SSD) WDS200T1XHM-00CMT0",https://www.newegg.com/western-digital-2tb-nvme/p/N82E16820250282,SanDisk,299.99,4.8,25.0,Free Shipping
"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25",https://www.newegg.com/sandisk-extreme-v2-2tb-usb-3-2-gen-2-usb-c/p/N82E16820173504,SanDisk,209.99,4.5,46.0,Free Shipping
"SAMSUNG 970 EVO PLUS M.2 2280 2TB PCIe Gen 3.0 x4, NVMe 1.3 V-NAND  Internal Solid State Drive (SSD) MZ-V7S2T0B/AM",https://www.newegg.com/samsung-970-evo-plus-2tb/p/N82E16820147744,SAMSUNG,349.99,4.8,2451.0,Free Shipping
Western Digital WD_Blue SN580 M.2 2280 2TB PCI-Express 4.0 x4 TLC Internal Solid State Drive (SSD) WDS200T3B0E,https://www.newegg.com/western-digital-2tb-wd-blue-sn580-nvme-1-4/p/N82E16820250253,SanDisk,218.37,4.6,74.0,Free Shipping
KingSpec SSD 2TB Internal Solid State Drive M.2 NVMe 2280 PCIe  3.0X4 Computer Disk Data Storage NAND Flash Hard Drives PC Desktop Laptop Ultrabook Upgrade for CoRe Ryzen Motherboard,https://www.newegg.com/kingspec-2tb/p/0D9-000D-00151?Item=9SIB1V8HP68401&cm_sp=SP-_-2809499-_-0-_-0-_-9SIB1V8HP68401-_-2tb ssd-_-2tb|ssd-_-5,KingSpec,199.99,3.8,43.0,Free Shipping
"WD_BLACK 1TB SN8100 NVMe SSD Internal Solid State Drive - Gen 5 PCIe 5.0x4, M.2 2280, Seq. Read Speeds Up to 14,900 MB/s, Best for AI Applications, Gaming, and Video Editing - WDS100T1X0M",https://www.newegg.com/western-digital-1tb-nvme/p/N82E16820250278?Item=N82E16820250278&cm_sp=SP-_-3020657-_-0-_-3-_-20-250-278-_-2tb ssd-_-2tb|ssd-_-6,SanDisk,169.99,4.8,25.0,Free Shipping
Team Group MP33 M.2 2280 2TB PCIe 3.0 x4 with NVMe 1.3 3D NAND Internal Solid State Drive (SSD) TM8FP6002T0C101,https://www.newegg.com/team-group-2tb-mp33-nvme-1-3/p/N82E16820331431,Team Group,184.99,4.5,1367.0,Free Shipping
"SAMSUNG 2.5"" 2TB SATA III Samsung V-NAND 3bit MLC Internal Solid State Drive (SSD) MZ-77E2T0E",https://www.newegg.com/samsung-2tb/p/N82E16820147829,SAMSUNG,249.25,,,Free Shipping
"AITC KINGSMAN SK350 2.5"" 1TB Performance Boost SATA III 3D NAND Internal Solid-State Drive (SSD)",https://www.newegg.com/kingsman-1tb/p/0D9-00ZF-00018?Item=9SIBDCSJXS0246&cm_sp=SP-_-2624817-_-0-_-3-_-9SIBDCSJXS0246-_-2tb ssd-_-2tb|ssd-_-9,KINGSMAN GAMING,89.0,3.9,43.0,Free Shipping
"KingSpec P3 SSD 4TB Internal 2.5"" Solid State Drive 2.5 Inch SATA III 3D NAND Flash Data Storage, Speed up to 560MB/s, laptop PC Desktop compatible, Black",https://www.newegg.com/kingspec-4tb-2-5-sata/p/0D9-000D-00159?Item=9SIB1V8JM85578&cm_sp=SP-_-2787476-_-0-_-0-_-9SIB1V8JM85578-_-2tb ssd-_-2tb|ssd-_-10,KingSpec,299.99,3.2,176.0,Free Shipping
Team Group T-FORCE G70 PRO Graphene M.2 2280 2TB PCIe 4.0 x4 with NVMe 1.4 TLC Internal Solid State Drive (SSD) TM8FFH002T0C129,https://www.newegg.com/team-group-2tb-t-force-g70-pro-graphene-nvme-1-4/p/N82E16820985135,Team Group,191.99,4.0,8.0,Free Shipping
Western Digital WD BLACK SN850 NVMe M.2 2280 2TB PCI-Express 4.0 x4 3D NAND Internal Solid State Drive (SSD) WDS200T1XHE w/ Heatsink,https://www.newegg.com/western-digital-2tb-black/p/N82E16820250182,Western Digital,179.99,4.8,513.0,Free Shipping
"SAMSUNG 990 PRO w/ Heatsink Gaming Package M.2 2280 2TB PCI-Express Gen 4.0 x4, NVMe 2.0 V7 V-NAND 3bit MLC Internal Solid State Drive (SSD) MZ-V9P2T0GW",https://www.newegg.com/samsung-2tb-990-pro-w-heatsink-gaming-package/p/N82E16820147865,SAMSUNG,269.95,4.7,836.0,Free Shipping
Team Group T-FORCE G70 PRO (Aluminum) M.2 2280 2TB PCIe 4.0 x4 with NVMe 1.4 TLC Internal Solid State Drive (SSD) TM8FFH002T0C128,https://www.newegg.com/team-group-2tb-t-force-g70-pro-nvme-1-4/p/N82E16820985137,Team Group,195.99,4.6,8.0,Free Shipping
"Patriot Viper VP4300 Lite M.2 PCIe Gen 4 x4 2TB SSD, Solid State Drive - VP4300L2TBM28H Up to 7,400MB/s",https://www.newegg.com/patriot-2tb-nvme-2-0/p/3C6-00HW-000M2,Patriot,199.99,4.9,9.0,Free Shipping
Kingston KC3000 M.2 2280 2TB PCI-Express 4.0 x4 3D TLC Internal Solid State Drive (SSD) SKC3000D/2048G,https://www.newegg.com/kingston-2tb-kc3000-nvme/p/N82E16820242660,Kingston,296.0,4.8,106.0,Free Shipping
"fanxiang 256GB SSD SATA III 2.5"" Internal Solid State Drive , 3D NAND TLC, Up to 550MB/s, Compatible with Laptops and PC Desktops",https://www.newegg.com/fanxiang-256gb-s101/p/0D9-00WY-00073?Item=9SIBSAYK3G7969&cm_sp=SP-_-2305593-_-0-_-3-_-9SIBSAYK3G7969-_-2tb ssd-_-2tb|ssd-_-17,fanxiang,39.99,1.0,1.0,$6.81 Shipping
4TB* WD_BLACK™ SN8100 PCIe® 5.0x4 NVMe™ M.2 SSD - WDS400T1X0M-00CMT0,https://www.newegg.com/western-digital-4tb-nvme/p/N82E16820250280?Item=N82E16820250280&cm_sp=SP-_-3020657-_-0-_-3-_-20-250-280-_-2tb ssd-_-2tb|ssd-_-18,SanDisk,479.99,4.8,25.0,Free Shipping
PNY CS2150 M.2 2280 2TB PCI-Express 5.0 x4 3D NAND Internal Solid State Drive (SSD) M280CS2150-2TB-TB,https://www.newegg.com/pny-2tb-cs2150-nvme-2-0/p/N82E16820177170,PNY,179.99,4.6,5.0,Free Shipping
"WD_BLACK 2TB SN770M M.2 2230 NVMe SSD for Handheld Gaming Devices, Speeds up to 5,150MB/s, TLC 3D NAND, Great for Steam Deck and Microsoft Surface -  WDBDNH0020BBK-WRSN",https://www.newegg.com/western-digital-2tb-sn770m-nvme/p/N82E16820250264,SanDisk,259.9,5.0,5.0,Free Shipping
"WD_BLACK 2TB SN8100 NVMe SSD Internal Solid State Drive - Gen 5 PCIe 5.0x4, M.2 2280, Seq. Read Speeds Up to 14,900 MB/s, Best for AI Applications, Gaming, and Video Editing - WDS200T1X0M",https://www.newegg.com/western-digital-2tb-nvme/p/N82E16820250279?Item=N82E16820250279&cm_sp=SP-_-3020657-_-0-_-2-_-20-250-279-_-2tb ssd-_-2tb|ssd-_-21,SanDisk,249.99,4.8,25.0,Free Shipping
"KingSpec XG7000 8TB 2280 SSD M.2 NVMe PCIe 4.0, Up to 7400MB/s, Internal Solid State Disk for PS5",https://www.newegg.com/kingspec-8tb-xg70000/p/0D9-000D-00194?Item=9SIB1V8KH74697&cm_sp=SP-_-2108756-_-0-_-1-_-9SIB1V8KH74697-_-2tb ssd-_-2tb|ssd-_-22,KingSpec,676.99,4.1,221.0,Free Shipping
KingSpec mSATA SSD Internal Solid State Drive 2TB Data Storage SATA Hard Drives 3D NAND Flash PC Desktop Laptop Notebook Computer Upgrade 2TB,https://www.newegg.com/kingspec-2tb-mt-series/p/0D9-000D-00174,KingSpec,166.99,3.9,22.0,Free Shipping
"Silicon Power 2TB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") SSD Internal Solid State Drive (SU002TBSS3A55S25SN)",https://www.newegg.com/silicon-power-2-tb-3d-nand-sata/p/0D9-0021-001A6,Silicon Power,190.34,4.4,188.0,Free Shipping
TEAMGROUP  NV10000 2TB Gen4 PCIe 2280 NVMe Internal SSD-TM8FGP002T0C101,https://www.newegg.com/team-group-2tb-nvme/p/N82E16820985364,Team Group,216.99,,,Free Shipping
Seagate Firecuda 520 1TB Performance Internal Solid State Drive SSD PCIe Gen4 X4 NVMe 1.3 for Gaming PC Gaming Laptop Desktop - 3-year Rescue Service (ZP1000GM3A002),https://www.newegg.com/seagate-firecuda-520-1tb/p/N82E16820248108,Seagate,159.0,4.7,215.0,Free Shipping
Kingston NV3 M.2 2280 2TB PCIe 4.0 x4 NVMe Internal Solid State Drive (SSD) SNV3S/2000G Up to 6000 MB/s,https://www.newegg.com/kingston-2tb-snv3s/p/N82E16820242903,Kingston,226.05,4.7,88.0,Free Shipping
Samsung 980 PRO 2TB SSD (MZ-V8P2T0),https://www.newegg.com/samsung-2tb/p/0D9-0009-00AJ1,SAMSUNG,244.99,5.0,3.0,Free Shipping
KingSpec 2TB NVMe PCIe 4.0x4  M.2 2242 Internal Solid Drive High Performance Read/Write Speed Up to 7200/6400 MB/s Support NVMe 1.4 2TB,https://www.newegg.com/kingspec-512gb-xg7000-2242/p/0D9-000D-00185?Item=9SIB1V8K5J0923&cm_sp=SP-_-2714096-_-0-_-6-_-9SIB1V8K5J0923-_-2tb ssd-_-2tb|ssd-_-29,KingSpec,239.99,4.1,221.0,Free Shipping
