title,product_url,brand,price,rating,review_count,shipping
"ZOTAC Gaming GeForce RTX 5090 AMP Extreme Infinity DLSS 4 32GB GDDR7 512-bit 28 Gbps PCIE 5.0 Gaming Graphics Card, IceStorm 3.0 Advanced Cooling, Spectra 2.0 ARGB Lighting, ZT-B50900B-10P",https://www.newegg.com/p/1FT-000M-003Z1,ZOTAC,5416.97,5.0,1,$18.99 Shipping
"Yeyian Phoenix Iron Mesh Gaming Desktop PC Intel Core Ultra 9 285K Nvidia RTX 5090 64GB DDR5 RGB 6000MHz 2TB SSD Windows 11 Home 64-bit, YPI-PM285KD-5901N",https://www.newegg.com/yeyian-warriors-gaming-desktop-geforce-rtx-5090-intel-core-ultra-9-285k-64gb-ddr5-2tb-nvme-ssd/p/N82E16883630079,YEYIAN,4299.99,,,Free Shipping
"MSI Stealth - 18"" GeForce RTX 5090 Laptop GPU - Intel Core Ultra 9 275HX - 64GB Memory - 2 TB SSD - Wi-Fi 7 Windows 11 Pro Gaming Laptop - 120 Hz (Stealth 18 HX AI A2XWJG-035US )",https://www.newegg.com/msi-18-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-275hx-64gb-memory-2-tb-ssd/p/N82E16834156741,MSI,3999.99,,,Free Shipping
"MSI Raider - 18"" GeForce RTX 5090 Laptop GPU - AMD Ryzen 9 9955HX3D - 64GB DDR5 5600MHz Memory - 2 TB SSD - Wi-Fi 7 Windows 11 Pro Gaming Laptop - 120 Hz Mini LED (Raider A18 HX A9WJG-052US )",https://www.newegg.com/msi-18-geforce-rtx-5090-laptop-gpu-amd-ryzen-9-9955hx3d-64gb-ddr5-5600mhz-memory-2-tb-ssd/p/N82E16834156732,MSI,4499.99,,,Free Shipping
"MSI Stealth A16 AI+ 16"" QHD+ OLED 240Hz Ultra Thin and Light Gaming Laptop AMD® Ryzen™ AI 9HX 370 RTX 5090 64GBLPDDR5x 2TB NVMe SSD Wi-Fi 7 Win 11PRO",https://www.newegg.com/msi-stealth-a16-ai-16-0-geforce-rtx-5090-laptop-gpu-amd-ryzen-ai-9-hx-370-qhd-64gb-memory-2tb-nvme-ssd-gen4x4-ssd/p/N82E16834156786,MSI,4299.0,,,Free Shipping
"Thermaltake LCGS Reactor 9590S Gaming Desktop (AMD Ryzen 9 9950X3D, ToughRam 32GB DDR5 6000MT/s RGB Memory, NVIDIA GeForce RTX 5090, 2TB NVMe M.2, Wifi, Windows 11) T6WT-X87S-590-LCS",https://www.newegg.com/thermaltake-gaming-desktop-pc-geforce-rtx-5090-amd-ryzen-9-9950x3d-32gb-ddr5-2tb-ssd-lcgs-reactor-9590s-white/p/N82E16883100111,Thermaltake,5329.99,,,Free Shipping
"MSI Raider - 18"" GeForce RTX 5090 Laptop GPU - Intel Core Ultra 9 285HX - 64GB DDR5 6400MHz Memory - 2 TB SSD - Windows 11 Pro Gaming Laptop - 120 Hz Mini LED (Raider 18 HX AI A2XWJG-069US )",https://www.newegg.com/msi-18-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-285hx-64gb-ddr5-6400mhz-memory-2-tb-ssd/p/N82E16834156730,MSI,3799.0,4.5,2,Free Shipping
"ASUS ROG Strix Scar - 18"" GeForce RTX 5090 Laptop GPU - Intel Core Ultra 9 275HX - 32GB Memory - 2 TB PCIe SSD - Wi-Fi 7 Windows 11 Pro GAMING LAPTOP - 240 Hz (G835LX-XS97 )",https://www.newegg.com/asus-rog-strix-18-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-275hx-wqxga-32gb-memory-2-tb-pcie-ssd/p/N82E16834236578,ASUS,4499.99,5.0,4,Free Shipping
"ZOTAC SOLID OC GeForce RTX 5090 32GB 512-Bit GDDR7 PCI Express 5.0 x16 DLSS 4.0 Video Card
ZOTAC GEFORCE RTX 5090  32GB SOLID OC",https://www.newegg.com/zotac-rtx-5090-solid-oc-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/1FT-000M-00404,ZOTAC,3607.49,,,Free Shipping
"AVGPC FrostFire Creator Gaming PC AMD Ryzen 9 9900X3D, NVIDIA GeForce RTX 5090, 2+2 TB nVME, 64GB RAM DDR5, 360mm Liquid Cooling, Win 11 Pro, White RTX 5090 4TB SSD",https://www.newegg.com/p/3D5-002N-000E0,AVGPC,5449.0,,,Free Shipping
